id,field,get_pv,set_pv
655,b0,SR06A-PC-VSTR-07:I,SR06A-PC-VSTR-07:SETI
658,b1,SR06A-PC-Q1B-10:I,SR06A-PC-Q1B-10:SETI
660,x,SR06C-DI-EBPM-07:SA:X,
660,y,SR06C-DI-EBPM-07:SA:Y,
688,x,SR07C-DI-EBPM-01:SA:X,
688,y,SR07C-DI-EBPM-01:SA:Y,
690,b1,SR07A-PC-Q1B-01:I,SR07A-PC-Q1B-01:SETI
693,b2,SR07A-PC-S1B-01:I,SR07A-PC-S1B-01:SETI
694,b0,SR07A-PC-HSTR-01:I,SR07A-PC-HSTR-01:SETI
695,b0,SR07A-PC-VSTR-01:I,SR07A-PC-VSTR-01:SETI
698,b1,SR07A-PC-Q2B-02:I,SR07A-PC-Q2B-02:SETI
700,b1,SR07A-PC-Q3B-03:I,SR07A-PC-Q3B-03:SETI
703,b2,SR07A-PC-S2B-02:I,SR07A-PC-S2B-02:SETI
704,b0,SR07A-PC-HSTR-02:I,SR07A-PC-HSTR-02:SETI
705,b0,SR07A-PC-VSTR-02:I,SR07A-PC-VSTR-02:SETI
708,x,SR07C-DI-EBPM-02:SA:X,
708,y,SR07C-DI-EBPM-02:SA:Y,
710,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
712,b1,SR07A-PC-Q2AB-04:I,SR07A-PC-Q2AB-04:SETI
714,x,SR07C-DI-EBPM-03:SA:X,
714,y,SR07C-DI-EBPM-03:SA:Y,
717,b2,SR07A-PC-S2A-03:I,SR07A-PC-S2A-03:SETI
718,b0,SR07A-PC-HSTR-03:I,SR07A-PC-HSTR-03:SETI
719,b0,SR07A-PC-VSTR-03:I,SR07A-PC-VSTR-03:SETI
722,b1,SR07A-PC-Q1AB-05:I,SR07A-PC-Q1AB-05:SETI
724,x,SR07C-DI-EBPM-04:SA:X,
724,y,SR07C-DI-EBPM-04:SA:Y,
727,b2,SR07A-PC-S1A-04:I,SR07A-PC-S1A-04:SETI
728,b0,SR07A-PC-HSTR-04:I,SR07A-PC-HSTR-04:SETI
729,b0,SR07A-PC-VSTR-04:I,SR07A-PC-VSTR-04:SETI
732,b1,SR07A-PC-Q1AB-06:I,SR07A-PC-Q1AB-06:SETI
735,b2,SR07A-PC-S2A-05:I,SR07A-PC-S2A-05:SETI
736,b0,SR07A-PC-HSTR-05:I,SR07A-PC-HSTR-05:SETI
737,b0,SR07A-PC-VSTR-05:I,SR07A-PC-VSTR-05:SETI
740,b1,SR07A-PC-Q2AB-07:I,SR07A-PC-Q2AB-07:SETI
742,x,SR07C-DI-EBPM-05:SA:X,
742,y,SR07C-DI-EBPM-05:SA:Y,
745,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
748,b2,SR07A-PC-S2B-06:I,SR07A-PC-S2B-06:SETI
749,b0,SR07A-PC-HSTR-06:I,SR07A-PC-HSTR-06:SETI
750,b0,SR07A-PC-VSTR-06:I,SR07A-PC-VSTR-06:SETI
753,b1,SR07A-PC-Q3B-08:I,SR07A-PC-Q3B-08:SETI
755,x,SR07C-DI-EBPM-06:SA:X,
755,y,SR07C-DI-EBPM-06:SA:Y,
757,b1,SR07A-PC-Q2B-09:I,SR07A-PC-Q2B-09:SETI
760,b2,SR07A-PC-S1B-07:I,SR07A-PC-S1B-07:SETI
761,b0,SR07A-PC-HSTR-07:I,SR07A-PC-HSTR-07:SETI
762,b0,SR07A-PC-VSTR-07:I,SR07A-PC-VSTR-07:SETI
765,b1,SR07A-PC-Q1B-10:I,SR07A-PC-Q1B-10:SETI
767,x,SR07C-DI-EBPM-07:SA:X,
767,y,SR07C-DI-EBPM-07:SA:Y,
781,x,SR08C-DI-EBPM-01:SA:X,
781,y,SR08C-DI-EBPM-01:SA:Y,
783,b1,SR08A-PC-Q1B-01:I,SR08A-PC-Q1B-01:SETI
786,b2,SR08A-PC-S1C-01:I,SR08A-PC-S1C-01:SETI
787,b0,SR08A-PC-HSTR-01:I,SR08A-PC-HSTR-01:SETI
788,b0,SR08A-PC-VSTR-01:I,SR08A-PC-VSTR-01:SETI
791,b1,SR08A-PC-Q2B-02:I,SR08A-PC-Q2B-02:SETI
793,b1,SR08A-PC-Q3B-03:I,SR08A-PC-Q3B-03:SETI
796,b2,SR08A-PC-S2C-02:I,SR08A-PC-S2C-02:SETI
797,b0,SR08A-PC-HSTR-02:I,SR08A-PC-HSTR-02:SETI
798,b0,SR08A-PC-VSTR-02:I,SR08A-PC-VSTR-02:SETI
801,x,SR08C-DI-EBPM-02:SA:X,
801,y,SR08C-DI-EBPM-02:SA:Y,
803,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
805,b1,SR08A-PC-Q2AB-04:I,SR08A-PC-Q2AB-04:SETI
807,x,SR08C-DI-EBPM-03:SA:X,
807,y,SR08C-DI-EBPM-03:SA:Y,
810,b2,SR08A-PC-S2A-03:I,SR08A-PC-S2A-03:SETI
811,b0,SR08A-PC-HSTR-03:I,SR08A-PC-HSTR-03:SETI
812,b0,SR08A-PC-VSTR-03:I,SR08A-PC-VSTR-03:SETI
815,b1,SR08A-PC-Q1AB-05:I,SR08A-PC-Q1AB-05:SETI
817,x,SR08C-DI-EBPM-04:SA:X,
817,y,SR08C-DI-EBPM-04:SA:Y,
820,b2,SR08A-PC-S1A-04:I,SR08A-PC-S1A-04:SETI
821,b0,SR08A-PC-HSTR-04:I,SR08A-PC-HSTR-04:SETI
822,b0,SR08A-PC-VSTR-04:I,SR08A-PC-VSTR-04:SETI
825,b1,SR08A-PC-Q1AD-06:I,SR08A-PC-Q1AD-06:SETI
828,b2,SR08A-PC-S2A-05:I,SR08A-PC-S2A-05:SETI
829,b0,SR08A-PC-HSTR-05:I,SR08A-PC-HSTR-05:SETI
830,b0,SR08A-PC-VSTR-05:I,SR08A-PC-VSTR-05:SETI
833,b1,SR08A-PC-Q2AD-07:I,SR08A-PC-Q2AD-07:SETI
835,x,SR08C-DI-EBPM-05:SA:X,
835,y,SR08C-DI-EBPM-05:SA:Y,
837,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
840,b2,SR08A-PC-S2D-06:I,SR08A-PC-S2D-06:SETI
841,b0,SR08A-PC-HSTR-06:I,SR08A-PC-HSTR-06:SETI
842,b0,SR08A-PC-VSTR-06:I,SR08A-PC-VSTR-06:SETI
845,b1,SR08A-PC-Q3D-08:I,SR08A-PC-Q3D-08:SETI
847,x,SR08C-DI-EBPM-06:SA:X,
847,y,SR08C-DI-EBPM-06:SA:Y,
849,b1,SR08A-PC-Q2D-09:I,SR08A-PC-Q2D-09:SETI
852,b2,SR08A-PC-S1D-07:I,SR08A-PC-S1D-07:SETI
853,b0,SR08A-PC-HSTR-07:I,SR08A-PC-HSTR-07:SETI
854,b0,SR08A-PC-VSTR-07:I,SR08A-PC-VSTR-07:SETI
857,b1,SR08A-PC-Q1D-10:I,SR08A-PC-Q1D-10:SETI
859,b1,SR08A-PC-QUADF-01:I,SR08A-PC-QUADF-01:SETI
