id,family
779,DRIFT
780,DBPM
781,BPM
782,KD1
783,Q1B
784,D2B
785,DSEXT
786,S1C
786,SQUAD
787,HSTR
788,VSTR
789,DSEXT
790,D3B
791,Q2B
792,D4B
793,Q3B
794,D5B
795,DSEXT
796,S2C
797,HSTR
798,VSTR
799,DSEXT
800,D6Ba
801,BPM
802,D6Bb
803,BB
804,D4A
805,Q2AB
806,D3Aa
807,BPM
808,D3Ab
809,DSEXT
810,S2A
810,SQUAD
811,HSTR
812,VSTR
813,DSEXT
814,D2A
815,Q1AB
816,D1Aa
817,BPM
818,D1Ab
819,DSEXT
820,S1A
821,HSTR
822,VSTR
823,DSEXT
824,D1A
825,Q1AD
826,D2A
827,DSEXT
828,S2A
828,SQUAD
829,HSTR
830,VSTR
831,DSEXT
832,D3A
833,Q2AD
834,D4Aa
835,BPM
836,D4Ab
837,BB
838,D6B
839,DSEXT
840,S2D
841,HSTR
842,VSTR
843,DSEXT
844,D5B
845,Q3D
846,D4Ba
847,BPM
848,D4Bb
849,Q2D
850,D3B
851,DSEXT
852,S1D
852,SQUAD
853,HSTR
854,VSTR
855,DSEXT
856,D2B
857,Q1D
858,D09_1
859,QM09
860,D09_2
861,DRIFT
862,HCHICA
863,DRIFT
864,D09_3
865,BPM
866,DRIFT
867,HTRIM
868,VTRIM
869,DRIFT
870,DRIFT
871,source
872,DRIFT
873,DRIFT
874,HTRIM
875,VTRIM
876,DRIFT
877,BPM
878,D09_5
879,HSTR
880,VSTR
881,D09_6
882,DRIFT
883,HCHICA
884,DRIFT
885,D09_7
886,QM09
887,D09_8
888,QM09
889,D09_9
890,BPM
891,D09_10
892,HSTR
893,VSTR
894,DRIFT
895,HTRIM
896,VTRIM
897,DRIFT
898,DRIFT
899,source
900,DRIFT
901,DRIFT
902,HTRIM
903,VTRIM
904,DRIFT
905,BPM
906,D09_12
907,DRIFT
908,HCHICA
909,DRIFT
910,D09_13
911,QM09
912,D09_14
913,Q1D
914,D2B
915,DSEXT
916,S1D
916,SQUAD
917,HSTR
918,VSTR
919,DSEXT
920,D3B
921,Q2D
922,D4B
923,Q3D
924,D5B
925,DSEXT
926,S2D
927,HSTR
928,VSTR
929,DSEXT
930,D6Ba
931,BPM
932,D6Bb
933,BB
934,D4A
935,Q2AD
936,D3Aa
937,BPM
938,D3Ab
939,DSEXT
940,S2A
940,SQUAD
941,HSTR
942,VSTR
943,DSEXT
944,D2A
945,Q1AD
946,D1Aa
947,BPM
948,D1Ab
949,DSEXT
950,S1A
951,HSTR
952,VSTR
953,DSEXT
