id,name,type,length
544,544,DRIFT,0.285350
545,545,QUAD,0.606300
546,546,DRIFT,0.231850
547,547,DRIFT,0.005000
548,548,SEXT,0.290000
549,549,HSTR,0.000000
550,550,VSTR,0.000000
551,551,DRIFT,0.005000
552,552,DRIFT,0.146800
553,553,QUAD,0.406400
554,554,DRIFT,1.288300
555,555,BPM,0.000000
556,556,DRIFT,0.002500
557,557,DRIFT,0.465500
558,558,DRIFT,0.075000
559,559,HTRIM,0.000000
560,560,VTRIM,0.000000
561,561,DRIFT,0.075000
562,562,DRIFT,1.056000
563,563,source,0.000000
564,564,DRIFT,1.056000
565,565,DRIFT,0.075000
566,566,HTRIM,0.000000
567,567,VTRIM,0.000000
568,568,DRIFT,0.075000
569,569,DRIFT,0.075000
570,570,HTRIM,0.000000
571,571,VTRIM,0.000000
572,572,DRIFT,0.075000
573,573,DRIFT,1.056000
574,574,source,0.000000
575,575,DRIFT,1.056000
576,576,DRIFT,0.075000
577,577,HTRIM,0.000000
578,578,VTRIM,0.000000
579,579,DRIFT,0.075000
580,580,DRIFT,0.465500
581,581,DRIFT,0.002500
582,582,BPM,0.000000
583,583,DRIFT,1.288300
584,584,QUAD,0.406400
585,585,DRIFT,0.146800
586,586,DRIFT,0.005000
587,587,SEXT,0.290000
588,588,HSTR,0.000000
589,589,VSTR,0.000000
590,590,DRIFT,0.005000
591,591,DRIFT,0.231850
592,592,QUAD,0.606300
593,593,DRIFT,0.458350
594,594,QUAD,0.307000
595,595,DRIFT,0.196500
596,596,DRIFT,0.005000
597,597,SEXT,0.290000
598,598,HSTR,0.000000
599,599,VSTR,0.000000
600,600,DRIFT,0.005000
601,601,DRIFT,0.185000
602,602,BPM,0.000000
603,603,DRIFT,0.484000
604,604,BEND,0.933000
605,605,DRIFT,0.585800
606,606,QUAD,0.406400
607,607,DRIFT,0.158300
608,608,BPM,0.000000
609,609,DRIFT,0.263500
610,610,DRIFT,0.005000
611,611,SEXT,0.190000
612,612,HSTR,0.000000
613,613,VSTR,0.000000
614,614,DRIFT,0.005000
615,615,DRIFT,0.195200
616,616,QUAD,0.407600
617,617,DRIFT,0.118700
618,618,BPM,0.000000
619,619,DRIFT,0.116000
620,620,DRIFT,0.005000
621,621,SEXT,0.290000
622,622,HSTR,0.000000
623,623,VSTR,0.000000
624,624,DRIFT,0.005000
625,625,DRIFT,0.234700
626,626,QUAD,0.407600
627,627,DRIFT,0.195200
628,628,DRIFT,0.005000
629,629,SEXT,0.190000
630,630,HSTR,0.000000
631,631,VSTR,0.000000
632,632,DRIFT,0.005000
633,633,DRIFT,0.421800
634,634,QUAD,0.406400
635,635,DRIFT,0.101800
636,636,BPM,0.000000
637,637,DRIFT,0.484000
638,638,BEND,0.933000
639,639,DRIFT,0.669000
640,640,DRIFT,0.005000
641,641,SEXT,0.290000
642,642,HSTR,0.000000
643,643,VSTR,0.000000
644,644,DRIFT,0.005000
645,645,DRIFT,0.196500
646,646,QUAD,0.307000
647,647,DRIFT,0.173000
648,648,BPM,0.000000
649,649,DRIFT,0.285350
650,650,QUAD,0.606300
651,651,DRIFT,0.231850
652,652,DRIFT,0.005000
653,653,SEXT,0.290000
654,654,HSTR,0.000000
655,655,VSTR,0.000000
656,656,DRIFT,0.005000
657,657,DRIFT,0.146800
658,658,QUAD,0.406400
659,659,DRIFT,1.288300
660,660,BPM,0.000000
661,661,DRIFT,0.002500
662,662,DRIFT,1.219500
663,663,DRIFT,0.050000
664,664,HCHICA,0.000000
665,665,DRIFT,0.050000
666,666,DRIFT,0.280500
667,667,DRIFT,0.150000
668,668,HTRIM,0.000000
669,669,VTRIM,0.000000
670,670,DRIFT,0.150000
671,671,DRIFT,0.977500
672,672,source,0.000000
673,673,DRIFT,0.977500
674,674,DRIFT,0.150000
675,675,HTRIM,0.000000
676,676,VTRIM,0.000000
677,677,DRIFT,0.150000
678,678,DRIFT,0.054000
679,679,DRIFT,0.050000
680,680,HCHICA,0.000000
681,681,DRIFT,0.050000
682,682,DRIFT,0.907000
683,683,DRIFT,0.050000
684,684,HCHICA,0.000000
685,685,DRIFT,0.050000
